timestamp,emg_value
1766015984.092503,23
1766015984.092523,20
1766015984.0925388,21
1766015984.092554,23
1766015984.092569,23
1766015984.0925848,21
1766015984.092601,22
1766015984.0926158,22
1766015984.092633,21
1766015984.092648,21
1766015984.0926678,23
1766015984.092683,21
1766015984.092701,23
1766015984.0927172,23
1766015984.092736,23
1766015984.092752,24
1766015984.092767,19
1766015984.092788,22
1766015984.0928042,22
1766015984.092821,22
1766015984.0928378,23
1766015984.092854,24
1766015984.092871,24
1766015984.092887,25
1766015984.0929081,22
1766015984.0929248,22
1766015984.092942,21
1766015984.09296,22
1766015984.092983,23
1766015984.092999,22
1766015984.093015,22
1766015984.09303,23
1766015984.0930612,23
1766015984.093078,24
1766015984.0930932,22
1766015984.093107,23
1766015984.0931242,22
1766015984.093139,24
1766015984.093162,21
1766015984.093178,24
1766015984.093193,24
1766015984.093218,23
1766015984.0932338,22
1766015984.093248,20
1766015984.0932631,22
1766015984.093278,23
1766015984.093293,21
1766015984.0933068,23
1766015984.093322,23
1766015984.093337,23
1766015984.0933518,23
1766015984.093367,22
1766015984.093382,21
1766015984.093407,21
1766015984.0934231,24
1766015984.093437,22
1766015984.093451,22
1766015984.0934641,23
1766015984.093483,21
1766015984.093496,23
1766015984.0935092,25
1766015984.0935218,18
1766015984.093535,22
1766015984.093548,21
1766015984.0935628,22
1766015984.093596,23
1766015984.0936089,22
1766015984.093621,24
1766015984.0936341,22
1766015984.093647,22
1766015984.0936599,20
1766015984.093672,20
1766015984.093685,21
1766015984.093707,20
1766015984.0937228,21
1766015984.093737,21
1766015984.093749,20
1766015984.093772,24
1766015984.093785,20
1766015984.0937989,25
1766015984.093813,24
1766015984.093827,23
1766015984.09384,21
1766015984.093854,25
1766015984.093867,22
1766015984.093879,21
1766015984.0939,22
1766015984.093913,21
1766015984.093927,22
1766015984.093941,22
1766015984.0939531,23
1766015984.0939672,21
1766015984.093982,24
1766015984.093996,19
1766015984.0940108,22
1766015984.094025,27
1766015984.0940402,22
1766015984.094055,26
1766015984.0940669,22
1766015984.094082,24
1766015984.094096,24
1766015984.09411,21
1766015984.094124,20
1766015984.0941381,21
1766015984.094152,22
1766015984.094165,24
1766015984.0941792,23
1766015984.094194,20
1766015984.094215,22
1766015984.0942342,21
1766015984.0942478,22
1766015984.09426,25
1766015984.094273,19
1766015984.094286,23
1766015984.0942988,22
1766015984.094327,22
1766015984.09434,22
1766015984.0943518,22
1766015984.094365,22
1766015984.094378,20
1766015984.094391,22
1766015984.094403,21
1766015984.094424,21
1766015984.0944371,21
1766015984.09445,23
1766015984.094462,21
1766015984.0944798,21
1766015984.094493,22
1766015984.094505,25
1766015984.094526,21
1766015984.09454,23
1766015984.094552,21
1766015984.0945652,23
1766015984.094578,22
1766015984.09459,20
1766015984.094603,21
1766015984.0946162,24
1766015984.094629,21
1766015984.094653,24
1766015984.094666,23
1766015984.094678,20
1766015984.094691,23
1766015984.0947042,23
1766015984.0947158,21
1766015984.094732,23
1766015984.0947452,22
1766015984.09476,23
1766015984.094773,21
1766015984.0947862,20
1766015984.094799,20
1766015984.094812,23
1766015984.094839,21
1766015984.0948548,22
1766015984.094867,24
1766015984.09488,22
1766015984.094893,21
1766015984.094906,24
1766015984.094919,21
1766015984.094931,23
1766015984.094944,23
1766015984.094957,20
1766015984.0949702,20
1766015984.094986,24
1766015984.095001,25
1766015984.0950139,22
1766015984.095026,23
1766015984.095039,22
1766015984.095052,20
1766015984.095065,21
1766015984.095078,20
1766015984.09509,24
1766015984.095103,22
1766015984.0951161,23
1766015984.0951328,21
1766015984.095146,23
1766015984.095158,22
1766015984.095171,19
1766015984.0951838,21
1766015984.095196,22
1766015984.095209,23
1766015984.095222,23
1766015984.095235,19
1766015984.095248,21
1766015984.09526,22
1766015984.095273,23
1766015984.0952861,25
1766015984.095299,23
1766015984.0953119,21
1766015984.095325,23
1766015984.0953379,21
1766015984.095351,21
1766015984.095364,17
1766015984.095377,21
1766015984.0953898,24
1766015984.095403,21
1766015984.09542,22
1766015984.095435,22
1766015984.095447,18
1766015984.0954602,24
1766015984.095478,22
1766015984.0954938,20
1766015984.0955079,23
1766015984.095521,23
1766015984.095534,22
1766015984.095546,21
1766015984.095565,23
1766015984.095579,20
1766015984.095592,21
1766015984.095605,21
1766015984.095618,22
1766015984.0956311,25
1766015984.095644,22
