timestamp,emg_value
1766015964.460329,25
1766015964.460362,21
1766015964.4603899,21
1766015964.460417,19
1766015964.460444,23
1766015964.460472,23
1766015964.460499,24
1766015964.4605298,23
1766015964.460557,24
1766015964.460584,20
1766015964.460611,19
1766015964.460636,22
1766015964.4606621,22
1766015964.4606879,24
1766015964.460714,20
1766015964.46074,20
1766015964.4607658,23
1766015964.460792,20
1766015964.4608178,22
1766015964.460844,20
1766015964.4608698,21
1766015964.460895,22
1766015964.460921,22
1766015964.460947,23
1766015964.460973,20
1766015964.460999,21
1766015964.461025,24
1766015964.46105,23
1766015964.461076,23
1766015964.4611032,22
1766015964.461129,21
1766015964.461153,20
1766015964.461178,21
1766015964.461195,23
1766015964.46121,20
1766015964.461225,24
1766015964.46124,21
1766015964.4612548,22
1766015964.46127,21
1766015964.461285,24
1766015964.4613,22
1766015964.461317,26
1766015964.461332,21
1766015964.461347,22
1766015964.461362,24
1766015964.461377,25
1766015964.461392,22
1766015964.461407,20
1766015964.4614232,20
1766015964.461438,25
1766015964.4614542,24
1766015964.461469,23
1766015964.461484,24
1766015964.461499,24
1766015964.461514,21
1766015964.4615302,25
1766015964.461545,25
1766015964.46156,20
1766015964.4615748,22
1766015964.46159,25
1766015964.461605,25
1766015964.4616199,25
1766015964.461635,22
1766015964.46165,23
1766015964.461668,20
1766015964.461689,23
1766015964.461704,26
1766015964.461719,21
1766015964.4617338,26
1766015964.461749,23
1766015964.461764,22
1766015964.4617789,22
1766015964.461795,24
1766015964.4618099,22
1766015964.4618251,25
1766015964.46184,24
1766015964.461856,21
1766015964.461874,24
1766015964.4618921,23
1766015964.461907,22
1766015964.461922,22
1766015964.461938,23
1766015964.461955,24
1766015964.461971,21
1766015964.461986,23
1766015964.4620008,27
1766015964.462016,22
1766015964.4620318,25
1766015964.4620469,23
1766015964.4620621,24
1766015964.462077,24
1766015964.462093,25
1766015964.462108,23
1766015964.462124,25
1766015964.462139,26
1766015964.462155,26
1766015964.4621701,23
1766015964.462188,28
1766015964.4622028,25
1766015964.462219,26
1766015964.462234,26
1766015964.46225,27
1766015964.4622662,26
1766015964.462281,26
1766015964.4622972,24
1766015964.462312,24
1766015964.462327,24
1766015964.462343,26
1766015964.462359,27
1766015964.462379,24
1766015964.462394,26
1766015964.46241,26
1766015964.462425,26
1766015964.462441,25
1766015964.462456,23
1766015964.462471,28
1766015964.462487,23
1766015964.462502,24
1766015964.462517,27
1766015964.462532,23
1766015964.462558,27
1766015964.462574,25
1766015964.462589,25
1766015964.462604,24
1766015964.4626188,27
1766015964.462634,27
1766015964.462649,27
1766015964.4626648,26
1766015964.462684,24
1766015964.462705,26
1766015964.462721,24
1766015964.462739,24
1766015964.462754,24
1766015964.4627688,24
1766015964.462785,23
1766015964.462807,21
1766015964.462823,24
1766015964.462838,21
1766015964.4628532,22
1766015964.462868,23
1766015964.462883,23
1766015964.462898,25
1766015964.462913,26
1766015964.4629278,25
1766015964.462944,24
1766015964.462959,26
1766015964.4629738,22
1766015964.462989,22
1766015964.4630039,24
1766015964.463019,27
1766015964.4630349,21
1766015964.46305,26
1766015964.4630651,23
1766015964.46308,23
1766015964.463097,24
1766015964.463115,23
1766015964.463132,25
1766015964.46315,24
1766015964.463166,26
1766015964.46318,24
1766015964.4631932,23
1766015964.463205,24
1766015964.463218,24
1766015964.4632409,26
1766015964.463259,24
1766015964.463274,22
1766015964.463289,23
1766015964.463302,23
1766015964.463315,27
1766015964.463327,26
1766015964.46334,24
1766015964.4633532,24
1766015964.4633658,25
1766015964.4633799,23
1766015964.463393,24
1766015964.463406,23
1766015964.463419,21
1766015964.463431,27
1766015964.463444,22
1766015964.463458,22
1766015964.4634712,21
1766015964.4634838,26
1766015964.463496,23
1766015964.463509,25
1766015964.463522,23
1766015964.463535,24
1766015964.463548,23
1766015964.463561,23
1766015964.463573,22
1766015964.463586,23
1766015964.4635992,26
1766015964.4636118,27
1766015964.463625,24
1766015964.463638,24
1766015964.4636512,24
1766015964.463664,25
1766015964.463677,22
1766015964.46369,21
1766015964.4637032,22
1766015964.463716,24
1766015964.4637282,24
1766015964.4637408,25
1766015964.463754,26
1766015964.463768,21
1766015964.4637802,23
1766015964.4637928,23
1766015964.463806,25
1766015964.463819,25
1766015964.4638321,23
1766015964.463845,22
1766015964.463858,24
