timestamp,emg_value
1766015975.432786,32
1766015975.432826,34
1766015975.432839,35
1766015975.4328709,33
1766015975.432907,36
1766015975.4329212,38
1766015975.4329321,34
1766015975.432944,35
1766015975.4329548,33
1766015975.432967,34
1766015975.432977,34
1766015975.432988,35
1766015975.432998,35
1766015975.4330082,34
1766015975.433019,33
1766015975.4330292,33
1766015975.4330392,35
1766015975.4330509,34
1766015975.4330611,34
1766015975.4330711,37
1766015975.4330812,30
1766015975.433092,32
1766015975.4331021,33
1766015975.4331121,33
1766015975.433123,34
1766015975.4331641,34
1766015975.4331799,32
1766015975.4331908,35
1766015975.433202,32
1766015975.433213,34
1766015975.433223,31
1766015975.433234,35
1766015975.433271,30
1766015975.4332852,33
1766015975.433295,33
1766015975.4333062,34
1766015975.4333172,32
1766015975.4333282,35
1766015975.4333389,34
1766015975.4333491,33
1766015975.4333599,34
1766015975.433372,34
1766015975.4333818,33
1766015975.433393,36
1766015975.4334028,35
1766015975.433414,33
1766015975.4334238,34
1766015975.433435,36
1766015975.4334452,31
1766015975.433455,31
1766015975.433465,32
1766015975.4334762,33
1766015975.433486,33
1766015975.4334972,32
1766015975.4335082,30
1766015975.4335182,32
1766015975.4335291,34
1766015975.4335392,33
1766015975.4335501,35
1766015975.4335601,33
1766015975.4335701,32
1766015975.43358,33
1766015975.4335911,33
1766015975.4336011,35
1766015975.433616,35
1766015975.433631,32
1766015975.433641,33
1766015975.433651,34
1766015975.433661,34
1766015975.433672,33
1766015975.433682,33
1766015975.433692,32
1766015975.433703,32
1766015975.433713,31
1766015975.433724,32
1766015975.433734,33
1766015975.433745,36
1766015975.433758,32
1766015975.433769,34
1766015975.433779,33
1766015975.43379,30
1766015975.4338,34
1766015975.43381,33
1766015975.43382,32
1766015975.433831,31
1766015975.433841,35
1766015975.4338508,36
1766015975.433861,35
1766015975.433872,34
1766015975.433882,32
1766015975.4338932,33
1766015975.4339032,33
1766015975.4339142,31
1766015975.4339259,33
1766015975.4339368,33
1766015975.4339478,33
1766015975.433959,33
1766015975.433982,30
1766015975.4339929,29
1766015975.434004,36
1766015975.434015,32
1766015975.434026,33
1766015975.434037,35
1766015975.434047,34
1766015975.434058,34
1766015975.434068,32
1766015975.434078,36
1766015975.434089,31
1766015975.4341,33
1766015975.434113,37
1766015975.434123,32
1766015975.434134,36
1766015975.434145,33
1766015975.434155,34
1766015975.434166,36
1766015975.434176,32
1766015975.434186,33
1766015975.434197,33
1766015975.434207,33
1766015975.434217,33
1766015975.434227,33
1766015975.434238,31
1766015975.434248,34
1766015975.434258,31
1766015975.434269,32
1766015975.4343228,33
1766015975.434336,31
1766015975.434347,33
1766015975.434357,32
1766015975.434784,33
1766015975.434796,33
1766015975.434807,34
1766015975.434817,31
1766015975.434827,32
1766015975.434838,31
1766015975.434848,33
1766015975.4349282,34
1766015975.4349408,31
1766015975.4349508,30
1766015975.4349608,32
1766015975.4349718,36
1766015975.434983,33
1766015975.4349928,34
1766015975.4350212,31
1766015975.435031,30
1766015975.4350421,32
1766015975.435052,30
1766015975.435062,30
1766015975.435072,30
1766015975.435083,31
1766015975.435093,31
1766015975.435103,35
1766015975.435256,34
1766015975.435275,36
1766015975.4352891,32
1766015975.4353018,33
1766015975.435315,31
1766015975.435328,31
1766015975.4353411,34
1766015975.435354,34
1766015975.4353678,32
1766015975.435381,32
1766015975.435395,31
1766015975.4354079,33
1766015975.435421,30
1766015975.435434,34
1766015975.435446,31
1766015975.4354591,32
1766015975.4354718,32
1766015975.435485,35
1766015975.435499,31
1766015975.435511,34
1766015975.435524,34
1766015975.43554,33
1766015975.435553,31
1766015975.4355662,33
1766015975.4355788,31
