timestamp,emg_value
1766015893.964512,33
1766015893.96452,29
1766015893.964525,29
1766015893.96453,35
1766015893.964535,35
1766015893.96454,34
1766015893.964545,34
1766015893.9645498,33
1766015893.964556,35
1766015893.964561,36
1766015893.9646049,37
1766015893.964612,37
1766015893.964617,34
1766015893.964622,38
1766015893.964628,36
1766015893.964632,40
1766015893.964637,36
1766015893.964643,36
1766015893.964648,33
1766015893.964652,33
1766015893.9646568,36
1766015893.964662,36
1766015893.9646668,33
1766015893.964672,35
1766015893.964677,36
1766015893.964682,34
1766015893.964687,36
1766015893.9646919,34
1766015893.9646971,35
1766015893.964702,32
1766015893.9647071,36
1766015893.964711,34
1766015893.96472,34
1766015893.964725,38
1766015893.96473,35
1766015893.964735,35
1766015893.96474,33
1766015893.964745,33
1766015893.96475,36
1766015893.964755,33
1766015893.96476,35
1766015893.9647648,33
1766015893.96477,33
1766015893.9647748,35
1766015893.964779,32
1766015893.9647841,35
1766015893.964789,35
1766015893.9647942,35
1766015893.964799,34
1766015893.9648042,33
1766015893.964809,34
1766015893.9648142,33
1766015893.964818,34
1766015893.964824,31
1766015893.964828,31
1766015893.964833,34
1766015893.9648378,31
1766015893.964843,31
1766015893.964848,32
1766015893.964853,31
1766015893.964858,33
1766015893.964863,32
1766015893.964868,31
1766015893.964872,30
1766015893.9648771,30
1766015893.9648871,32
1766015893.964892,32
1766015893.964897,32
1766015893.9649012,33
1766015893.964906,30
1766015893.9649112,34
1766015893.964916,32
1766015893.964921,32
1766015893.964926,32
1766015893.964931,30
1766015893.964936,30
1766015893.964941,33
1766015893.964947,28
1766015893.964952,30
1766015893.964957,29
1766015893.964962,29
1766015893.964967,33
1766015893.964972,35
1766015893.964976,32
1766015893.964981,34
1766015893.964986,32
1766015893.964991,35
1766015893.964996,35
1766015893.9650009,32
1766015893.965006,33
1766015893.965011,32
1766015893.9650161,32
1766015893.965021,35
1766015893.9650261,33
1766015893.965031,31
1766015893.965035,35
1766015893.9650402,34
1766015893.9650471,32
1766015893.9650528,33
1766015893.965058,34
1766015893.965062,31
1766015893.965067,32
1766015893.965072,32
1766015893.965077,29
1766015893.9650822,32
1766015893.965087,31
1766015893.9650922,31
1766015893.965097,31
1766015893.9651022,28
1766015893.965108,34
1766015893.9651132,32
1766015893.965118,29
1766015893.965122,34
1766015893.965127,32
1766015893.965132,30
1766015893.965137,31
1766015893.965142,33
1766015893.9651468,30
1766015893.965152,33
1766015893.965157,32
1766015893.965162,30
1766015893.965166,32
1766015893.9651709,32
1766015893.965176,32
1766015893.9651809,32
1766015893.965186,31
1766015893.965191,30
1766015893.9651961,33
1766015893.965201,31
1766015893.965207,31
1766015893.965214,35
1766015893.965219,33
1766015893.965224,32
1766015893.965229,30
1766015893.9652338,34
1766015893.965239,34
1766015893.9652429,34
1766015893.965248,30
1766015893.965253,31
1766015893.965258,30
1766015893.9652631,32
1766015893.965268,31
1766015893.9652731,34
1766015893.965278,32
1766015893.9652832,32
1766015893.965287,29
1766015893.965292,34
1766015893.965297,30
1766015893.965302,31
1766015893.965307,31
1766015893.965312,29
1766015893.965317,32
1766015893.965321,31
1766015893.965326,30
1766015893.9653308,32
