timestamp,emg_value
1766015896.0138829,35
1766015896.013897,34
1766015896.013907,33
1766015896.013917,32
1766015896.013928,34
1766015896.013942,34
1766015896.013964,33
1766015896.013977,33
1766015896.013988,32
1766015896.014001,34
1766015896.014011,36
1766015896.0140212,33
1766015896.014032,32
1766015896.0140412,32
1766015896.014053,32
1766015896.0140631,33
1766015896.014074,32
1766015896.0140858,31
1766015896.014097,34
1766015896.014107,35
1766015896.014117,33
1766015896.014127,33
1766015896.014139,32
1766015896.01415,34
1766015896.0141618,35
1766015896.014175,35
1766015896.014185,36
1766015896.014195,36
1766015896.014205,34
1766015896.014215,34
1766015896.014226,33
1766015896.014237,36
1766015896.0142589,35
1766015896.014271,34
1766015896.014281,35
1766015896.0142899,37
1766015896.0143008,36
1766015896.0143108,33
1766015896.014323,38
1766015896.014333,36
1766015896.014344,37
1766015896.014358,35
1766015896.0143669,35
1766015896.0143769,36
1766015896.014387,36
1766015896.014397,38
1766015896.014407,35
1766015896.014416,34
1766015896.014426,33
1766015896.014436,36
1766015896.0144472,36
1766015896.014457,37
1766015896.014467,36
1766015896.014485,35
1766015896.014496,38
1766015896.014506,37
1766015896.0145159,33
1766015896.014526,35
1766015896.0145369,35
1766015896.0145469,37
1766015896.014557,36
1766015896.014567,36
1766015896.014577,35
1766015896.014594,36
1766015896.014612,35
1766015896.014634,34
1766015896.014644,36
1766015896.014654,33
1766015896.014664,34
1766015896.014674,34
1766015896.014684,36
1766015896.014694,34
1766015896.014703,34
1766015896.014722,35
1766015896.014734,32
1766015896.014745,34
1766015896.014755,35
1766015896.0147688,32
1766015896.0147789,32
1766015896.014789,31
1766015896.014799,31
1766015896.0148091,33
1766015896.0148191,33
1766015896.0148292,35
1766015896.014839,32
1766015896.0148501,31
1766015896.01486,34
1766015896.01487,31
1766015896.01488,35
1766015896.0148969,32
1766015896.014907,30
1766015896.0149171,33
1766015896.0149271,34
1766015896.014982,34
1766015896.015027,31
1766015896.015041,33
1766015896.015054,32
1766015896.015073,29
1766015896.0150862,34
1766015896.0150988,31
1766015896.015112,30
1766015896.015124,35
1766015896.015137,33
1766015896.015149,34
1766015896.0151622,32
1766015896.015174,28
1766015896.015187,29
1766015896.015199,31
1766015896.015213,29
1766015896.015253,30
1766015896.015266,33
1766015896.015278,30
1766015896.015293,27
1766015896.015306,30
1766015896.015318,31
1766015896.015331,30
1766015896.0153432,33
1766015896.0153549,31
1766015896.015368,32
1766015896.01538,30
1766015896.015393,32
1766015896.015405,32
1766015896.015418,34
1766015896.01543,32
1766015896.0154428,31
1766015896.015456,35
1766015896.0154712,31
1766015896.015483,32
1766015896.015496,33
1766015896.015518,33
1766015896.015531,31
1766015896.0155442,31
1766015896.015557,30
1766015896.015569,32
1766015896.0155818,30
1766015896.015597,29
1766015896.015609,28
1766015896.015622,34
1766015896.015637,30
1766015896.015649,34
1766015896.0156622,33
1766015896.015674,32
1766015896.015687,31
1766015896.015702,33
1766015896.015714,31
1766015896.015727,36
1766015896.015739,30
1766015896.0157518,36
1766015896.015765,34
1766015896.015778,36
1766015896.01579,33
1766015896.0158029,38
1766015896.015815,36
1766015896.015827,33
1766015896.01584,37
1766015896.015852,36
1766015896.015865,38
1766015896.015877,35
1766015896.01589,36
1766015896.015902,34
1766015896.015915,35
1766015896.015928,38
1766015896.015947,38
1766015896.0159612,36
1766015896.0159738,36
1766015896.015986,34
1766015896.015999,34
1766015896.016011,32
1766015896.016024,35
1766015896.016036,35
1766015896.016049,32
1766015896.016062,36
1766015896.016074,35
1766015896.016099,33
1766015896.0161111,33
1766015896.016124,36
1766015896.016136,36
1766015896.016149,36
1766015896.016161,37
1766015896.016174,39
1766015896.016186,40
1766015896.016198,38
1766015896.016211,37
1766015896.016223,36
1766015896.016235,38
1766015896.016248,40
1766015896.0162601,40
1766015896.0162728,38
1766015896.016285,37
1766015896.016298,40
1766015896.01631,38
1766015896.016323,40
1766015896.016335,39
1766015896.016347,38
1766015896.01636,36
1766015896.0163789,34
1766015896.016394,37
1766015896.016406,37
1766015896.0164192,36
1766015896.016431,34
1766015896.0164428,35
1766015896.016456,34
1766015896.016468,33
1766015896.016481,32
1766015896.016494,35
1766015896.0165062,37
1766015896.0165188,34
1766015896.016531,34
1766015896.016543,36
1766015896.016556,34
1766015896.016576,32
1766015896.016588,34
1766015896.016601,35
1766015896.016613,35
1766015896.016626,34
1766015896.016638,31
1766015896.016651,35
1766015896.016663,29
1766015896.0166762,31
1766015896.016688,32
1766015896.0166998,30
1766015896.016713,29
1766015896.016725,33
1766015896.016737,31
1766015896.016751,30
1766015896.016763,34
1766015896.0167758,31
1766015896.016788,31
1766015896.016808,29
1766015896.016823,31
1766015896.016835,32
1766015896.0168478,31
1766015896.01686,34
1766015896.016883,32
1766015896.016895,29
1766015896.016908,29
1766015896.016921,27
1766015896.0169332,31
1766015896.0169458,28
1766015896.01697,27
1766015896.016983,28
1766015896.016995,32
1766015896.017008,29
1766015896.017018,28
1766015896.017029,29
1766015896.017039,27
1766015896.017051,31
1766015896.017062,29
1766015896.0170722,29
1766015896.017083,29
1766015896.0170932,30
1766015896.017104,30
1766015896.0171142,29
1766015896.0171251,29
1766015896.0171351,30
1766015896.017146,28
1766015896.017159,30
1766015896.017169,27
1766015896.01718,27
1766015896.01719,30
1766015896.017201,31
1766015896.017218,28
1766015896.017229,27
1766015896.0172422,29
1766015896.0172532,30
1766015896.0172632,30
1766015896.0172741,30
1766015896.0172842,29
1766015896.0172951,28
1766015896.017306,26
1766015896.017316,30
1766015896.017327,27
1766015896.017337,31
1766015896.017348,28
1766015896.017358,26
1766015896.017369,25
1766015896.01738,30
1766015896.01739,30
1766015896.017401,29
1766015896.017411,28
1766015896.017422,28
1766015896.017432,27
1766015896.0174432,25
1766015896.0174541,30
1766015896.0174642,28
1766015896.0174751,26
1766015896.0174851,28
1766015896.017496,26
1766015896.017507,28
1766015896.017517,30
1766015896.017528,27
1766015896.017538,27
1766015896.017549,27
1766015896.017559,23
1766015896.01757,26
1766015896.017587,29
1766015896.0176,27
1766015896.01761,27
1766015896.01762,26
1766015896.017631,29
1766015896.017643,28
1766015896.017654,25
1766015896.017664,27
1766015896.017675,27
1766015896.017685,28
1766015896.017696,27
1766015896.017706,30
1766015896.017717,25
1766015896.017727,29
1766015896.017751,23
1766015896.017762,27
1766015896.017772,28
1766015896.017783,29
1766015896.017793,26
1766015896.0178041,25
1766015896.017814,26
1766015896.0178251,27
1766015896.017835,26
1766015896.017846,25
1766015896.017856,28
1766015896.017867,24
1766015896.017878,29
1766015896.017888,25
1766015896.017899,28
1766015896.017909,26
1766015896.01792,25
1766015896.01793,24
1766015896.01794,26
1766015896.0179572,27
1766015896.017972,26
1766015896.017983,30
1766015896.017994,28
1766015896.018005,25
1766015896.018016,28
1766015896.0180259,27
1766015896.018037,26
1766015896.018047,28
1766015896.018058,29
1766015896.018068,25
1766015896.0180779,25
1766015896.018089,29
1766015896.0180988,24
1766015896.01811,27
1766015896.018121,25
1766015896.018131,27
1766015896.018142,22
1766015896.018152,29
1766015896.018163,30
1766015896.018173,28
1766015896.018184,29
1766015896.018194,25
1766015896.018205,25
1766015896.018215,25
1766015896.018228,26
1766015896.018238,27
1766015896.018249,24
1766015896.018259,27
1766015896.01827,30
1766015896.01828,25
1766015896.018291,26
1766015896.018301,25
1766015896.018311,25
1766015896.0183291,24
1766015896.018341,25
1766015896.018352,27
1766015896.018363,28
1766015896.018373,26
1766015896.018384,27
1766015896.018394,21
1766015896.0184052,25
1766015896.0184152,25
1766015896.0184262,28
1766015896.0184362,25
1766015896.0184472,27
1766015896.0184572,25
1766015896.0184681,27
1766015896.0184782,29
1766015896.0184882,29
1766015896.0184991,20
1766015896.01851,27
1766015896.01852,24
1766015896.0185301,25
1766015896.018541,28
1766015896.018552,30
1766015896.0185652,27
1766015896.0185752,21
1766015896.0185862,27
1766015896.0185962,27
1766015896.0186071,26
1766015896.0186172,24
1766015896.0186281,24
1766015896.0186381,29
1766015896.018649,28
1766015896.018659,27
1766015896.01867,25
1766015896.018687,24
1766015896.018699,25
1766015896.01871,24
1766015896.01872,24
1766015896.018731,27
1766015896.018741,28
1766015896.018752,26
1766015896.018763,28
1766015896.018773,27
1766015896.018784,27
1766015896.018794,27
1766015896.018805,27
1766015896.018815,26
1766015896.018826,25
1766015896.018836,29
1766015896.018847,26
1766015896.018857,26
1766015896.018868,26
1766015896.018878,28
1766015896.018889,23
1766015896.018899,29
1766015896.01891,25
1766015896.01892,25
1766015896.018931,28
1766015896.018941,26
1766015896.018952,25
1766015896.018974,26
1766015896.018985,28
1766015896.018996,29
1766015896.019006,27
1766015896.019017,28
1766015896.019028,28
1766015896.019038,28
1766015896.0190551,24
1766015896.019069,27
1766015896.01908,29
1766015896.01909,27
1766015896.019101,28
1766015896.019111,28
1766015896.019122,26
1766015896.019132,27
1766015896.0191429,29
1766015896.0191538,27
1766015896.0191638,31
1766015896.0191748,29
1766015896.0191848,29
1766015896.0191958,27
1766015896.0192058,26
1766015896.019217,29
1766015896.019228,25
1766015896.019238,28
1766015896.019249,25
1766015896.019259,27
1766015896.01927,29
1766015896.01928,26
1766015896.019291,28
1766015896.0193012,29
1766015896.0193121,26
1766015896.0193222,29
1766015896.0193331,27
1766015896.0193431,26
1766015896.019354,28
1766015896.0193658,30
1766015896.019377,29
1766015896.0193868,29
1766015896.019398,30
1766015896.019414,27
1766015896.019426,28
1766015896.019438,30
1766015896.019448,32
1766015896.019459,27
1766015896.019469,31
1766015896.01948,26
1766015896.01949,31
1766015896.019501,33
1766015896.019511,29
1766015896.019522,30
1766015896.019532,30
1766015896.019542,27
1766015896.019553,31
1766015896.019564,30
1766015896.019574,29
1766015896.0195851,29
1766015896.019595,30
1766015896.019606,29
1766015896.019616,29
1766015896.019627,29
1766015896.019638,29
1766015896.019648,31
1766015896.019659,32
1766015896.019669,31
1766015896.01968,31
1766015896.019691,32
1766015896.019701,31
1766015896.019711,33
1766015896.019722,28
1766015896.019733,30
1766015896.019743,32
1766015896.019754,28
1766015896.019764,32
1766015896.019781,31
1766015896.019794,30
1766015896.019805,29
1766015896.019815,29
1766015896.019826,32
1766015896.019836,31
1766015896.019847,30
1766015896.019857,30
1766015896.019868,32
1766015896.019878,33
1766015896.0198889,31
1766015896.019899,32
1766015896.0199099,33
1766015896.0199199,30
1766015896.0199308,35
1766015896.019941,32
1766015896.019952,32
1766015896.019962,31
1766015896.019973,32
1766015896.019983,28
1766015896.019994,33
1766015896.0200052,32
1766015896.020015,33
1766015896.0200262,34
1766015896.020036,35
1766015896.0200472,33
1766015896.0200572,29
1766015896.0200682,29
1766015896.0200791,34
1766015896.0200891,28
1766015896.0200992,31
1766015896.0201101,31
1766015896.0201201,30
1766015896.020137,32
1766015896.02015,33
1766015896.02016,31
1766015896.020171,28
1766015896.020181,30
1766015896.020192,29
1766015896.020203,31
1766015896.020213,29
1766015896.020223,28
1766015896.0202339,29
1766015896.020245,28
1766015896.020255,29
1766015896.020266,28
1766015896.020276,28
1766015896.020287,28
1766015896.020297,28
1766015896.020308,30
1766015896.020319,30
1766015896.020329,27
1766015896.02034,30
1766015896.020351,29
1766015896.020361,28
1766015896.020372,31
1766015896.020383,31
1766015896.020393,30
1766015896.0204039,27
1766015896.0204139,31
1766015896.0204248,28
1766015896.0204349,31
1766015896.020446,29
1766015896.0204558,30
1766015896.020467,31
1766015896.0204768,31
1766015896.0204911,31
1766015896.020504,27
1766015896.020514,26
1766015896.0205429,31
1766015896.020589,27
1766015896.0206022,28
1766015896.0206132,27
1766015896.0206249,28
1766015896.0206358,27
1766015896.0206468,29
1766015896.020658,27
1766015896.020669,29
1766015896.02068,29
1766015896.020691,32
1766015896.020702,29
