timestamp,emg_value
1766015891.817285,30
1766015891.817297,26
1766015891.8173518,29
1766015891.817365,26
1766015891.817376,27
1766015891.817387,29
1766015891.8173969,27
1766015891.817407,33
1766015891.817417,32
1766015891.817445,34
1766015891.817457,30
1766015891.817468,32
1766015891.817478,30
1766015891.817488,29
1766015891.8174982,34
1766015891.817508,30
1766015891.817518,29
1766015891.8175292,31
1766015891.817539,33
1766015891.817549,32
1766015891.817558,33
1766015891.817568,32
1766015891.817579,33
1766015891.8175879,35
1766015891.8175979,35
1766015891.817609,33
1766015891.817618,36
1766015891.817628,33
1766015891.817638,36
1766015891.817649,34
1766015891.817659,35
1766015891.8176682,31
1766015891.817682,35
1766015891.8176918,35
1766015891.8177018,34
1766015891.817712,34
1766015891.817722,34
1766015891.817732,36
1766015891.817742,32
1766015891.8177521,34
1766015891.8177621,33
1766015891.8177722,31
1766015891.817782,33
1766015891.817792,30
1766015891.817802,34
1766015891.817812,35
1766015891.817822,35
1766015891.817832,31
1766015891.817842,33
1766015891.817852,32
1766015891.8178618,35
1766015891.8178718,35
1766015891.817882,34
1766015891.817892,34
1766015891.817902,33
1766015891.817912,31
1766015891.817922,34
1766015891.8179321,30
1766015891.817941,34
1766015891.817951,30
1766015891.817961,31
1766015891.817971,31
1766015891.817981,30
1766015891.817991,28
1766015891.8180091,32
1766015891.818021,33
1766015891.818031,31
1766015891.818041,30
1766015891.818051,29
1766015891.818061,28
1766015891.8180711,31
1766015891.81808,26
1766015891.81809,29
1766015891.8181,31
1766015891.81811,30
1766015891.81812,30
1766015891.81813,30
1766015891.818141,29
1766015891.818151,29
1766015891.818161,27
1766015891.8181708,31
1766015891.818181,29
1766015891.81819,30
1766015891.8182,27
1766015891.8182101,33
1766015891.8182201,31
1766015891.81823,29
1766015891.81824,27
1766015891.81825,30
1766015891.818259,31
1766015891.818269,31
1766015891.818279,29
1766015891.8182888,30
1766015891.8183,27
1766015891.8183098,30
1766015891.8183198,28
1766015891.8183491,30
1766015891.818362,30
1766015891.8183732,31
1766015891.8183832,28
1766015891.818393,28
1766015891.8184042,28
1766015891.818414,31
1766015891.818423,30
1766015891.818434,31
